via_princi,sentido,latitud,longitud
Av. Instituto Politecnico Nacional,Sur a Norte,19.488276,-99.133981
Eje 8 Sur,Oriente a Poniente,19.482184,-99.133978
Eje 8 Sur y Av. Universidad,Poniente a Oriente,19.366426,-99.167849
Av. Ejercito Nacional,Poniente a Oriente,19.4387035,-99.2097713
Eje 5 Av. Montevideo,Oriente a Poniente,19.4943507,-99.1502647
Av. Chapultepec,Poniente a Oriente,19.4253317,-99.1556279
Av.608,Oriente a Poniente,19.4537273,-99.0755043
Paseo de la Reforma,Norte a Sur,19.443908,-99.139101
Eje 8 Sur Ermita Iztapalapa,Sur a Norte,19.376515,-99.059128
Periferico,Norte a Sur,19.318721,-99.075577
Universidad,Sur a Norte,19.346607,-99.180692
Insurgentes,Sur a Norte,19.446385,-99.153443
Av. Calzada Ignacio Zaragoza,Poniente a Oriente,19.3889366,-99.0423924
Calz. Gral. Mariano Escobedo y Laguna de T?rminos,Sur a Norte,19.443364,-99.183073
Eje 1 Nte. Jose Antonio Alzate,Poniente a Oriente,19.447244,-99.159553
Circuito Bicentenario Av. Rio Consulado,Oriente a Poniente,19.463576,-99.148482
Eje 1 Norte,Poniente a Oriente,19.444137,-99.140003
Eje 1 Oriente,Sur a Norte,19.340973,-99.137389
Av. Paseo de la Reforma,Sur a Norte,19.445922,-99.137033
Eje Central,Sur a Norte,19.5084073,-99.151726
Calz. Vallejo,Norte a Sur,19.511921,-99.160748
Circuito Bicentenario Av. Rio Consulado,Poniente a Oriente,19.4561169,-99.1144101
Periferico 2P S-N,Sur a Norte,19.3593912,-99.1932155
